 	Area	XM	YM	Circ.	AR	Round	Solidity
1	6	29.500	11.000	1.000	1.500	0.667	1.000
2	10	127.400	10.900	0.674	2.953	0.339	0.909
3	4	209.000	10.500	0.740	4.000	0.250	1.000
4	1	234.500	10.500	1.000	1.000	1.000	1.000
5	1	321.500	10.500	1.000	1.000	1.000	1.000
6	1	323.500	10.500	1.000	1.000	1.000	1.000
7	5	379.300	10.900	1.000	1.553	0.644	0.909
8	5	388.700	10.900	1.000	1.553	0.644	0.909
9	13	398.962	12.038	0.846	1.453	0.688	0.812
10	2	415.000	10.500	1.000	2.000	0.500	1.000
11	1	471.500	10.500	1.000	1.000	1.000	1.000
12	3	494.833	11.167	1.000	1.464	0.683	0.857
13	8	552.125	11.250	0.914	1.605	0.623	0.800
14	7	565.500	10.500	0.434	7.000	0.143	1.000
15	1	665.500	10.500	1.000	1.000	1.000	1.000
16	1	700.500	10.500	1.000	1.000	1.000	1.000
17	7	710.500	11.214	1.000	1.069	0.936	0.875
18	9	746.944	11.167	1.000	1.536	0.651	0.857
19	4	786.500	10.750	1.000	1.468	0.681	0.800
20	1	822.500	10.500	1.000	1.000	1.000	1.000
21	1	899.500	10.500	1.000	1.000	1.000	1.000
22	11	999.045	11.045	0.715	2.053	0.487	0.815
23	8	1005.750	10.750	0.588	3.152	0.317	0.800
24	1	1013.500	10.500	1.000	1.000	1.000	1.000
25	3	825.167	11.833	1.000	1.464	0.683	0.857
26	1	438.500	12.500	1.000	1.000	1.000	1.000
27	6	970.000	13.500	1.000	1.500	0.667	1.000
28	3	974.833	13.167	1.000	1.464	0.683	0.857
29	4	978.000	13.000	1.000	1.000	1.000	1.000
30	4	843.000	14.000	1.000	1.000	1.000	1.000
31	2	720.500	15.000	1.000	2.000	0.500	1.000
32	4	480.000	17.000	1.000	1.000	1.000	1.000
33	9	760.278	18.167	1.000	1.185	0.844	0.857
34	2	18.000	17.500	1.000	2.000	0.500	1.000
35	15	1009.433	18.900	1.000	1.295	0.772	0.857
36	5	286.100	19.300	1.000	1.553	0.644	0.909
37	5	637.900	19.700	1.000	1.553	0.644	0.909
38	9	57.611	20.833	1.000	1.340	0.746	0.857
39	1	99.500	19.500	1.000	1.000	1.000	1.000
40	2	275.000	19.500	1.000	2.000	0.500	1.000
41	4	296.000	20.000	1.000	1.000	1.000	1.000
42	19	996.237	20.395	0.819	2.364	0.423	0.950
43	1	46.500	20.500	1.000	1.000	1.000	1.000
44	5	487.100	21.700	1.000	1.553	0.644	0.909
45	7	911.071	21.786	0.898	1.668	0.600	0.778
46	2	959.500	21.000	1.000	2.000	0.500	1.000
47	1	981.500	20.500	1.000	1.000	1.000	1.000
48	1	682.500	21.500	1.000	1.000	1.000	1.000
49	1	145.500	22.500	1.000	1.000	1.000	1.000
50	2	431.000	23.000	0.785	2.646	0.378	0.667
51	11	629.682	24.045	1.000	1.450	0.689	0.846
52	6	970.500	23.000	1.000	1.500	0.667	1.000
53	14	320.786	25.000	1.000	1.020	0.981	0.933
54	6	89.667	25.667	1.000	1.291	0.775	0.800
55	11	120.682	25.955	1.000	1.450	0.689	0.846
56	12	523.000	26.500	0.851	1.504	0.665	0.800
57	5	600.100	25.300	1.000	1.553	0.644	0.909
58	3	645.500	25.500	0.809	3.000	0.333	1.000
59	7	749.786	25.500	1.000	1.069	0.936	0.875
60	2	767.500	25.000	1.000	2.000	0.500	1.000
61	2	803.500	25.000	1.000	2.000	0.500	1.000
62	2	335.000	25.500	1.000	2.000	0.500	1.000
63	2	721.000	25.500	1.000	2.000	0.500	1.000
64	9	135.611	27.833	1.000	1.340	0.746	0.857
65	14	1004.286	27.714	0.838	1.851	0.540	0.903
66	10	24.200	28.800	0.982	1.241	0.806	0.800
67	8	52.375	28.750	0.914	1.939	0.516	0.842
68	10	1011.700	28.700	0.553	2.537	0.394	0.714
69	11	182.773	29.409	0.887	1.892	0.528	0.880
70	6	258.333	29.333	1.000	1.291	0.775	0.800
71	8	371.125	29.750	1.000	1.605	0.623	0.800
72	1	452.500	28.500	1.000	1.000	1.000	1.000
73	2	754.500	29.000	1.000	2.000	0.500	1.000
74	6	905.667	29.667	1.000	1.291	0.775	0.800
75	4	969.000	29.000	1.000	1.000	1.000	1.000
76	9	766.500	30.500	1.000	1.000	1.000	1.000
77	5	980.300	29.900	1.000	1.553	0.644	0.909
78	1	164.500	30.500	1.000	1.000	1.000	1.000
79	1	274.500	30.500	1.000	1.000	1.000	1.000
80	5	729.100	31.700	1.000	1.553	0.644	0.909
81	7	609.500	32.500	1.000	1.596	0.626	0.875
82	2	237.000	32.500	1.000	2.000	0.500	1.000
83	2	200.500	34.000	1.000	2.000	0.500	1.000
84	4	219.250	34.500	0.857	1.468	0.681	0.800
85	4	392.000	34.000	1.000	1.000	1.000	1.000
86	9	776.500	34.500	1.000	1.000	1.000	1.000
87	2	809.000	34.000	0.785	2.646	0.378	0.667
88	12	90.167	35.750	0.851	2.038	0.491	0.828
89	7	11.500	36.500	1.000	1.596	0.626	0.875
90	1	630.500	35.500	1.000	1.000	1.000	1.000
