 	Area	XM	YM	Circ.	AR	Round	Solidity
1	1	76.500	10.500	1.000	1.000	1.000	1.000
2	7	102.786	11.071	1.000	1.936	0.517	0.933
3	2	109.000	10.500	1.000	2.000	0.500	1.000
4	8	130.125	10.875	0.820	2.564	0.390	0.889
5	2	207.000	10.500	1.000	2.000	0.500	1.000
6	12	313.667	11.417	0.967	1.579	0.633	0.889
7	2	362.500	11.000	1.000	2.000	0.500	1.000
8	13	411.346	11.346	0.779	2.286	0.437	0.867
9	8	437.750	11.875	0.914	1.435	0.697	0.842
10	9	456.167	10.833	0.662	2.779	0.360	0.857
11	11	481.045	10.864	0.564	3.615	0.277	0.880
12	8	506.500	10.875	0.820	2.232	0.448	0.889
13	5	533.300	11.100	1.000	1.553	0.644	0.909
14	3	551.500	10.500	0.967	3.000	0.333	1.000
15	6	578.333	10.833	0.809	2.237	0.447	0.857
16	7	647.786	10.929	1.000	1.936	0.517	0.933
17	8	729.875	10.875	0.740	2.564	0.390	0.889
18	1	735.500	10.500	1.000	1.000	1.000	1.000
19	2	833.000	10.500	1.000	2.000	0.500	1.000
20	3	878.500	10.500	0.967	3.000	0.333	1.000
21	3	956.167	10.833	1.000	1.464	0.683	0.857
22	1	986.500	10.500	1.000	1.000	1.000	1.000
23	8	1002.500	10.875	0.820	2.232	0.448	0.889
24	7	1011.214	10.929	0.943	1.936	0.517	0.933
25	13	488.654	13.115	0.922	1.714	0.583	0.839
26	10	560.000	12.500	1.000	1.551	0.645	0.909
27	15	352.567	14.233	1.000	1.435	0.697	0.882
28	10	869.400	13.700	1.000	1.288	0.776	0.909
29	3	86.833	13.833	1.000	1.464	0.683	0.857
30	7	398.071	14.214	0.898	1.668	0.600	0.778
31	10	420.000	14.500	1.000	1.551	0.645	0.909
32	1	444.500	13.500	1.000	1.000	1.000	1.000
33	18	469.556	15.278	0.755	2.468	0.405	0.800
34	14	517.571	14.643	0.549	3.058	0.327	0.778
35	8	703.250	14.250	0.914	1.416	0.706	0.800
36	2	814.000	13.500	1.000	2.000	0.500	1.000
37	3	17.833	15.167	1.000	1.464	0.683	0.857
38	6	389.500	15.000	1.000	1.500	0.667	1.000
39	10	542.200	15.300	1.000	1.559	0.641	0.909
40	12	568.417	16.167	0.931	1.451	0.689	0.774
41	2	824.000	14.500	1.000	2.000	0.500	1.000
42	10	371.000	16.500	1.000	1.551	0.645	0.909
43	9	498.056	16.167	1.000	1.536	0.651	0.857
44	10	452.300	18.000	0.982	1.864	0.537	0.800
45	2	664.500	17.000	1.000	2.000	0.500	1.000
46	2	229.500	18.000	1.000	2.000	0.500	1.000
47	5	304.100	18.300	1.000	1.553	0.644	0.909
48	10	552.000	19.000	0.982	2.217	0.451	0.833
49	6	595.500	18.000	1.000	1.500	0.667	1.000
50	1	717.500	17.500	1.000	1.000	1.000	1.000
51	1	760.500	17.500	1.000	1.000	1.000	1.000
52	16	409.500	20.125	1.000	1.262	0.792	0.889
53	12	532.000	20.250	0.851	2.108	0.474	0.800
54	1	652.500	18.500	1.000	1.000	1.000	1.000
55	4	27.000	20.000	1.000	1.000	1.000	1.000
56	4	94.000	20.500	0.857	2.031	0.492	0.800
57	5	337.700	20.100	1.000	1.553	0.644	0.909
58	7	379.500	20.500	1.000	1.596	0.626	0.875
59	3	481.833	20.167	1.000	1.464	0.683	0.857
60	10	509.000	20.700	1.000	1.384	0.723	0.909
61	10	103.500	22.000	1.000	1.551	0.645	0.909
62	3	265.167	20.833	1.000	1.464	0.683	0.857
63	18	357.833	22.444	0.965	1.421	0.704	0.857
64	7	459.786	21.071	1.000	1.936	0.517	0.933
65	3	578.833	21.167	1.000	1.464	0.683	0.857
66	1	860.500	20.500	1.000	1.000	1.000	1.000
67	2	314.000	21.500	1.000	2.000	0.500	1.000
68	17	441.382	22.912	1.000	1.263	0.792	0.919
69	23	488.674	22.978	0.560	4.045	0.247	0.780
70	6	419.500	23.000	1.000	1.500	0.667	1.000
71	15	540.767	24.100	0.976	1.369	0.731	0.857
72	5	561.300	23.700	0.873	2.308	0.433	0.769
73	6	813.667	23.333	1.000	1.291	0.775	0.800
74	13	518.731	24.346	0.956	1.796	0.557	0.929
75	5	746.300	23.900	1.000	1.553	0.644	0.909
76	6	18.500	25.000	1.000	1.500	0.667	1.000
77	5	295.100	25.300	1.000	1.553	0.644	0.909
78	14	367.857	26.929	0.911	1.211	0.826	0.848
79	6	401.000	25.500	1.000	1.500	0.667	1.000
80	7	851.500	25.500	1.000	1.596	0.626	0.875
81	2	80.000	25.500	1.000	2.000	0.500	1.000
82	2	470.000	25.500	1.000	2.000	0.500	1.000
83	5	474.300	26.100	1.000	1.553	0.644	0.909
84	6	570.000	26.500	1.000	1.500	0.667	1.000
85	4	823.500	26.000	1.000	2.031	0.492	0.800
86	11	502.682	28.045	1.000	1.450	0.689	0.846
87	10	550.000	27.500	1.000	1.551	0.645	0.909
88	3	914.833	26.833	1.000	1.464	0.683	0.857
89	4	1003.000	27.000	1.000	1.000	1.000	1.000
90	16	529.500	28.812	0.719	2.443	0.409	0.762
91	3	29.833	28.833	1.000	1.464	0.683	0.857
92	6	65.667	29.333	1.000	1.291	0.775	0.800
93	6	172.500	29.000	1.000	1.500	0.667	1.000
94	2	213.000	28.500	1.000	2.000	0.500	1.000
95	13	245.885	29.885	1.000	1.159	0.863	0.897
96	22	458.545	30.227	0.535	3.302	0.303	0.772
97	2	594.000	29.000	0.785	2.646	0.378	0.667
98	4	778.250	29.500	0.857	1.468	0.681	0.800
99	4	970.000	29.000	1.000	1.000	1.000	1.000
100	1	95.500	29.500	1.000	1.000	1.000	1.000
101	5	191.500	30.500	0.873	1.000	1.000	0.714
102	5	433.700	29.900	1.000	1.553	0.644	0.909
103	5	480.900	30.300	1.000	1.553	0.644	0.909
104	12	511.333	31.167	0.851	1.606	0.623	0.774
105	2	838.000	29.500	1.000	2.000	0.500	1.000
106	3	40.833	30.833	1.000	1.464	0.683	0.857
107	6	285.000	32.000	0.809	2.082	0.480	0.857
108	17	749.853	32.500	0.985	1.044	0.957	0.850
109	7	11.214	32.643	1.000	1.380	0.725	0.875
110	1	407.500	31.500	1.000	1.000	1.000	1.000
111	20	490.550	32.650	0.674	2.749	0.364	0.833
112	6	387.500	35.000	0.458	6.000	0.167	1.000
113	5	417.900	33.300	0.764	2.188	0.457	0.769
114	2	537.000	32.500	1.000	2.000	0.500	1.000
115	3	984.833	32.833	1.000	1.464	0.683	0.857
116	8	469.500	34.000	0.820	2.392	0.418	0.889
117	8	848.500	35.000	0.914	1.195	0.837	0.800
118	3	888.167	33.833	1.000	1.464	0.683	0.857
119	7	103.500	35.214	1.000	1.069	0.936	0.875
120	1	205.500	34.500	1.000	1.000	1.000	1.000
121	15	565.167	35.500	0.898	1.866	0.536	0.909
122	1	647.500	34.500	1.000	1.000	1.000	1.000
123	8	740.250	36.125	0.914	1.605	0.623	0.800
124	4	162.500	35.750	1.000	1.468	0.681	0.800
125	5	235.900	36.500	0.641	3.053	0.328	0.625
126	11	294.318	37.318	0.976	1.035	0.966	0.846
127	2	340.000	35.500	1.000	2.000	0.500	1.000
128	13	501.500	36.500	1.000	1.735	0.576	0.929
129	8	522.000	36.000	1.000	2.000	0.500	1.000
130	7	546.786	36.071	1.000	1.936	0.517	0.933
131	1	80.500	36.500	1.000	1.000	1.000	1.000
132	7	451.500	37.500	1.000	1.596	0.626	0.875
133	2	371.000	37.500	1.000	2.000	0.500	1.000
134	1	478.500	37.500	1.000	1.000	1.000	1.000
135	12	529.333	38.417	1.000	1.579	0.633	0.889
136	1	713.500	37.500	1.000	1.000	1.000	1.000
137	2	779.500	39.000	1.000	2.000	0.500	1.000
138	1	964.500	38.500	1.000	1.000	1.000	1.000
139	4	114.000	40.500	0.857	2.031	0.492	0.800
140	9	285.389	41.167	1.000	1.340	0.746	0.857
141	6	352.667	40.500	1.000	1.809	0.553	0.800
142	16	461.000	41.000	0.927	1.519	0.658	0.842
143	13	485.346	40.346	0.779	2.286	0.437	0.867
144	3	508.833	40.167	1.000	1.464	0.683	0.857
145	2	554.000	39.500	1.000	2.000	0.500	1.000
146	2	807.000	39.500	1.000	2.000	0.500	1.000
147	8	880.750	40.500	1.000	1.554	0.644	0.800
148	4	32.000	41.000	1.000	1.000	1.000	1.000
149	1	92.500	40.500	1.000	1.000	1.000	1.000
150	11	361.955	41.864	1.000	1.139	0.878	0.815
151	9	441.056	41.389	1.000	1.817	0.550	0.857
152	3	12.833	41.833	1.000	1.464	0.683	0.857
153	2	380.500	42.000	1.000	2.000	0.500	1.000
154	3	396.167	42.167	1.000	1.464	0.683	0.857
155	17	538.971	42.676	0.786	2.350	0.426	0.919
156	6	580.333	42.333	1.000	1.291	0.775	0.800
157	8	768.875	42.750	0.914	1.435	0.697	0.842
158	3	253.833	43.167	1.000	1.464	0.683	0.857
159	8	494.750	43.875	0.914	1.435	0.697	0.842
160	15	473.167	44.567	0.898	1.869	0.535	0.909
161	18	521.556	45.389	0.645	2.952	0.339	0.800
162	9	561.611	44.611	1.000	1.343	0.745	0.857
163	3	608.833	44.167	1.000	1.464	0.683	0.857
164	7	718.643	45.071	0.800	1.387	0.721	0.737
165	1	106.500	44.500	1.000	1.000	1.000	1.000
166	5	200.300	45.100	1.000	1.553	0.644	0.909
167	1	419.500	44.500	1.000	1.000	1.000	1.000
168	16	570.875	47.062	0.857	1.537	0.651	0.821
169	4	143.000	46.000	1.000	1.000	1.000	1.000
170	12	452.833	47.083	0.851	1.890	0.529	0.774
171	3	589.167	46.167	1.000	1.464	0.683	0.857
172	1	181.500	46.500	1.000	1.000	1.000	1.000
173	9	504.500	47.500	0.799	2.326	0.430	0.818
174	2	902.500	47.000	1.000	2.000	0.500	1.000
175	3	981.833	47.167	1.000	1.464	0.683	0.857
176	3	61.167	48.167	1.000	1.464	0.683	0.857
177	6	324.667	48.333	1.000	1.291	0.775	0.800
178	8	371.625	48.375	1.000	1.229	0.814	0.941
179	8	432.500	48.125	0.820	2.232	0.448	0.889
180	6	529.500	48.667	1.000	1.809	0.553	0.800
181	6	777.500	48.000	1.000	1.500	0.667	1.000
182	2	729.000	48.500	1.000	2.000	0.500	1.000
183	15	15.700	51.633	0.976	1.439	0.695	0.857
184	1	50.500	49.500	1.000	1.000	1.000	1.000
185	5	87.900	50.700	1.000	1.553	0.644	0.909
186	12	98.667	50.583	0.967	1.579	0.633	0.889
187	12	462.667	50.583	0.967	1.579	0.633	0.889
188	7	483.214	49.929	0.943	1.936	0.517	0.933
189	1	553.500	49.500	1.000	1.000	1.000	1.000
190	2	738.000	49.500	1.000	2.000	0.500	1.000
191	8	362.625	51.625	1.000	1.229	0.814	0.941
192	3	442.167	50.833	1.000	1.464	0.683	0.857
193	8	941.250	51.375	0.914	1.939	0.516	0.842
194	7	112.643	52.643	0.800	1.571	0.636	0.737
195	3	305.167	51.833	1.000	1.464	0.683	0.857
196	8	413.625	52.375	1.000	1.229	0.814	0.941
197	7	514.786	52.071	1.000	1.936	0.517	0.933
198	9	881.500	52.500	1.000	1.000	1.000	1.000
199	9	25.611	53.833	1.000	1.340	0.746	0.857
200	1	247.500	52.500	1.000	1.000	1.000	1.000
201	1	379.500	52.500	1.000	1.000	1.000	1.000
202	4	423.000	53.000	1.000	1.000	1.000	1.000
203	12	495.750	53.583	0.781	2.601	0.384	0.828
204	6	541.500	53.000	1.000	1.500	0.667	1.000
205	8	893.375	53.375	1.000	1.229	0.814	0.941
206	6	66.000	54.000	0.916	2.082	0.480	0.857
207	15	473.167	55.033	1.000	1.392	0.718	0.882
208	6	562.500	54.000	1.000	1.500	0.667	1.000
209	17	404.794	57.265	0.911	1.553	0.644	0.850
210	11	523.318	55.955	0.976	1.450	0.689	0.846
211	14	453.643	56.286	0.549	3.738	0.267	0.757
212	1	610.500	55.500	1.000	1.000	1.000	1.000
213	5	43.900	57.700	1.000	1.553	0.644	0.909
214	2	181.500	57.000	1.000	2.000	0.500	1.000
215	7	298.643	58.643	0.621	2.212	0.452	0.667
216	4	435.000	58.000	1.000	1.000	1.000	1.000
217	9	507.056	58.389	1.000	1.817	0.550	0.857
218	12	552.500	59.000	0.931	2.393	0.418	0.800
219	1	54.500	58.500	1.000	1.000	1.000	1.000
220	7	386.500	59.786	1.000	1.069	0.936	0.875
221	6	533.667	59.667	1.000	1.291	0.775	0.800
222	4	934.000	59.000	1.000	1.000	1.000	1.000
223	13	17.731	61.115	1.000	1.093	0.915	0.897
224	12	34.000	61.000	1.000	1.000	1.000	0.857
225	18	115.944	61.444	0.935	1.476	0.677	0.783
226	7	368.214	60.500	1.000	1.069	0.936	0.875
227	8	602.375	60.375	1.000	1.229	0.814	0.941
228	2	945.000	59.500	1.000	2.000	0.500	1.000
229	7	416.500	61.214	1.000	1.069	0.936	0.875
230	8	466.500	62.000	0.914	1.195	0.837	0.800
231	9	515.167	61.611	1.000	1.340	0.746	0.857
232	5	687.300	61.100	1.000	1.553	0.644	0.909
233	2	887.000	60.500	1.000	2.000	0.500	1.000
234	4	948.500	61.000	1.000	2.031	0.492	0.800
235	3	67.500	62.500	0.809	3.000	0.333	1.000
236	5	426.500	62.500	0.873	1.000	1.000	0.714
237	1	99.500	62.500	1.000	1.000	1.000	1.000
238	8	190.375	63.375	1.000	1.229	0.814	0.941
239	7	246.500	63.214	1.000	1.069	0.936	0.875
240	3	448.167	62.833	1.000	1.464	0.683	0.857
241	7	629.071	63.357	0.898	1.387	0.721	0.737
242	7	854.214	62.929	0.943	1.936	0.517	0.933
243	6	496.000	64.000	0.916	2.082	0.480	0.857
244	3	542.167	64.167	1.000	1.464	0.683	0.857
245	7	970.500	64.214	1.000	1.069	0.936	0.875
246	9	25.611	65.833	1.000	1.340	0.746	0.857
247	8	290.250	65.375	0.914	1.939	0.516	0.842
248	17	455.147	66.500	1.000	1.044	0.957	0.850
249	9	476.944	65.167	1.000	1.536	0.651	0.857
250	7	639.500	65.500	1.000	1.596	0.626	0.875
251	5	925.500	65.500	0.873	1.000	1.000	0.714
252	3	46.833	67.167	1.000	1.464	0.683	0.857
253	10	57.600	67.600	0.887	1.577	0.634	0.800
254	1	124.500	66.500	1.000	1.000	1.000	1.000
255	6	264.000	67.500	1.000	1.500	0.667	1.000
256	13	433.115	68.115	1.000	1.159	0.863	0.897
257	15	505.433	68.100	1.000	1.295	0.772	0.857
258	2	238.500	68.000	1.000	2.000	0.500	1.000
259	7	300.500	68.500	1.000	1.596	0.626	0.875
260	21	486.357	69.643	1.000	1.400	0.714	0.933
261	4	386.000	69.000	1.000	1.000	1.000	1.000
262	12	420.000	69.500	1.000	1.333	0.750	1.000
263	3	535.167	69.167	1.000	1.464	0.683	0.857
264	6	255.000	70.500	1.000	1.500	0.667	1.000
265	11	444.136	70.409	1.000	1.372	0.729	0.957
266	5	466.700	70.100	1.000	1.553	0.644	0.909
267	10	134.500	72.000	1.000	1.551	0.645	0.909
268	3	310.833	70.833	1.000	1.464	0.683	0.857
269	3	401.500	70.500	0.967	3.000	0.333	1.000
270	5	755.900	71.700	1.000	1.553	0.644	0.909
271	1	10.500	71.500	1.000	1.000	1.000	1.000
272	5	34.100	72.300	1.000	1.553	0.644	0.909
